CO(GT),C6H6(GT),NOx(GT),NO2(GT),anomaly
2.6,15.5,280,124,1
5.0,28.8,505,184,1
5.6,31.1,566,200,1
6.5,34.9,681,225,1
4.1,19.5,448,168,1
2.1,11.7,231,118,1
2.0,9.9,230,115,1
1.4,7.7,146,94,1
0.8,4.4,77,62,1
0.8,4.1,82,68,1
0.6,3.1,55,50,1
0.5,2.4,-200,-200,1
0.4,2.1,42,36,1
0.6,3.3,102,53,1
1.4,8.1,231,79,1
5.6,31.4,699,133,1
7.3,41.2,738,148,1
5.3,27.3,665,161,1
4.4,24.2,598,191,1
3.1,17.0,340,158,1
3.3,17.7,374,157,1
3.8,19.3,401,188,1
2.3,12.7,275,143,1
2.6,14.6,278,152,1
3.2,17.8,342,168,1
5.0,26.6,479,205,1
5.6,30.3,553,204,1
5.4,28.7,531,210,1
4.4,20.0,428,173,1
2.4,11.9,229,123,1
1.5,8.1,145,92,1
1.3,7.7,112,77,1
1.1,5.9,99,74,1
1.0,5.1,98,74,1
0.6,2.4,54,47,1
0.5,2.4,-200,-200,1
0.6,3.8,59,44,1
0.8,5.0,162,69,1
1.5,9.7,268,79,1
4.1,25.9,531,108,1
5.5,34.3,517,119,1
5.5,29.0,701,165,1
3.7,20.0,510,172,1
3.3,18.3,415,180,1
2.5,13.4,243,130,1
2.6,14.0,267,120,1
2.2,12.1,233,117,1
2.6,15.3,295,141,1
2.9,16.1,309,151,1
5.0,27.3,506,218,1
5.1,26.2,479,213,1
5.2,26.7,460,194,1
3.8,18.3,363,167,1
2.2,11.9,213,115,1
2.1,11.5,183,98,1
1.8,9.6,163,93,1
1.6,8.0,152,87,1
1.4,6.9,104,71,1
0.8,3.7,61,49,1
0.5,2.4,-200,-200,1
-200.0,2.2,54,44,1
0.5,2.5,84,58,1
0.9,6.3,132,66,1
3.2,21.6,422,112,1
2.8,18.8,282,104,1
2.7,18.1,293,103,1
2.4,14.8,334,118,1
2.7,15.9,324,129,1
2.8,16.1,294,127,1
2.9,17.2,273,130,1
2.6,15.8,275,130,1
2.6,15.1,282,118,1
3.2,18.9,323,146,1
4.6,25.2,442,190,1
4.9,26.1,431,189,1
4.7,25.6,402,173,1
3.3,16.9,313,148,1
2.3,12.6,228,116,1
2.1,10.3,218,109,1
1.7,8.9,179,94,1
1.0,6.5,97,64,1
0.9,5.3,83,59,1
0.7,4.6,80,64,1
0.4,2.0,-200,-200,1
0.4,2.5,66,52,1
0.5,2.8,109,55,1
1.3,8.4,232,83,1
3.5,21.1,535,114,1
5.5,34.0,684,137,1
5.6,29.4,803,160,1
3.4,20.3,539,138,1
3.2,18.4,364,134,1
3.7,22.3,422,143,1
4.6,26.9,483,153,1
4.2,24.0,496,145,1
3.3,19.3,403,123,1
2.7,14.5,282,96,1
2.2,11.1,268,107,1
2.8,10.4,306,119,1
2.9,10.5,293,109,1
2.0,5.8,240,107,1
0.7,2.2,93,57,1
0.6,2.0,99,60,1
1.2,3.8,55,22,1
1.2,3.9,19,2,1
1.1,3.7,26,7,1
0.6,1.7,26,8,1
0.3,1.0,-200,-200,1
0.3,1.0,42,27,1
0.3,0.9,32,14,1
0.4,1.3,25,3,1
0.6,2.1,28,9,1
0.7,2.5,41,14,1
1.0,4.6,130,52,1
1.1,4.3,173,64,1
1.5,6.5,168,66,1
1.4,6.0,51,14,1
1.4,6.0,31,9,1
1.0,4.5,41,12,1
0.9,3.9,41,14,1
1.1,4.6,54,21,1
1.3,6.7,112,43,1
1.8,8.9,178,62,1
2.4,9.8,218,68,1
2.7,10.8,241,81,1
1.7,7.4,223,88,1
2.2,10.3,279,99,1
2.8,13.8,330,98,1
2.4,10.9,330,97,1
2.5,11.7,341,101,1
1.4,7.8,205,90,1
1.4,7.7,-200,-200,1
-200.0,5.5,130,61,1
0.9,4.5,102,55,1
0.6,3.3,79,46,1
1.0,5.4,148,56,1
1.6,8.2,261,83,1
0.9,3.0,107,55,1
0.9,3.0,103,47,1
1.0,3.5,122,61,1
1.0,3.6,127,58,1
0.9,4.0,110,59,1
0.9,4.2,98,54,1
0.9,3.1,146,69,1
0.9,3.5,119,54,1
2.7,10.3,234,95,1
2.2,7.8,261,99,1
3.3,10.7,371,127,1
2.1,7.3,266,98,1
1.8,7.7,268,112,1
1.9,8.6,294,115,1
2.3,10.0,303,114,1
1.9,8.5,241,103,1
1.3,5.8,142,81,1
1.0,5.0,110,75,1
0.6,2.9,-200,-200,1
0.6,3.4,104,64,1
0.9,5.6,179,71,1
1.5,9.0,361,99,1
5.5,26.9,799,132,1
4.0,18.8,614,135,1
1.8,8.2,275,94,1
1.9,9.1,325,103,1
1.7,9.2,327,123,1
1.6,8.3,252,95,1
1.9,9.1,226,90,1
1.6,9.2,230,99,1
1.8,9.6,244,107,1
2.0,11.8,251,112,1
3.1,17.3,346,132,1
3.9,17.8,407,148,1
4.3,20.9,490,158,1
3.5,14.9,434,145,1
2.4,11.3,345,128,1
1.5,8.4,192,105,1
1.3,6.8,157,90,1
1.0,4.9,148,85,1
0.8,3.5,105,73,1
0.5,2.8,141,74,1
0.4,2.1,-200,-200,1
0.5,2.2,107,61,1
0.7,3.9,166,69,1
1.2,7.3,241,82,1
2.4,15.5,368,120,1
4.3,27.1,498,135,1
4.1,21.3,641,152,1
3.7,19.9,667,177,1
3.4,19.4,550,181,1
3.8,21.8,483,176,1
4.1,21.7,524,163,1
3.4,18.9,481,174,1
2.3,13.0,305,117,1
3.2,18.8,396,145,1
4.8,26.8,501,173,1
6.7,36.9,702,204,1
7.5,39.3,755,209,1
4.5,23.1,524,175,1
2.1,11.6,247,129,1
1.5,8.3,196,111,1
1.1,5.7,135,85,1
1.1,5.9,146,86,1
0.9,4.1,106,71,1
0.5,2.2,70,60,1
0.4,2.0,-200,-200,1
-200.0,2.2,62,48,1
0.4,2.0,60,45,1
0.7,4.0,92,53,1
2.0,13.4,277,94,1
4.2,28.0,600,122,1
5.2,28.6,693,170,1
3.8,21.4,617,174,1
3.7,19.1,569,191,1
3.4,19.6,409,179,1
3.1,15.8,335,148,1
2.4,13.5,290,129,1
2.8,15.9,312,148,1
3.6,19.9,440,184,1
4.0,21.6,450,188,1
5.6,31.0,578,204,1
6.3,34.1,615,201,1
4.7,22.8,536,165,1
1.9,12.3,238,133,1
1.9,10.9,249,125,1
1.2,7.1,150,101,1
0.9,5.7,108,79,1
-200.0,5.3,-200,-200,1
-200.0,2.9,-200,-200,1
-200.0,1.9,-200,-200,1
-200.0,2.4,-200,-200,1
-200.0,4.0,-200,-200,1
-200.0,8.1,-200,-200,1
-200.0,24.8,-200,-200,1
-200.0,36.3,-200,-200,1
-200.0,20.9,-200,-200,1
-200.0,22.2,-200,-200,1
-200.0,23.5,-200,-200,1
1.7,10.8,-200,-200,1
1.7,11.2,223,101,1
2.2,15.1,267,113,1
2.8,17.4,308,121,1
3.9,23.4,422,146,1
6.5,35.9,623,188,1
6.3,34.0,572,182,1
5.7,30.1,514,166,1
4.4,20.0,414,142,1
1.6,10.5,143,84,1
1.5,9.0,147,87,1
1.7,10.7,159,91,1
1.9,10.4,206,91,1
1.6,9.7,140,74,1
1.3,6.9,132,69,1
0.8,4.0,-200,-200,1
0.6,3.0,81,54,1
0.7,4.3,120,60,1
1.6,9.8,279,69,1
2.9,17.2,392,91,1
4.1,27.9,433,97,1
3.7,20.5,531,114,1
3.6,21.2,619,129,1
3.4,19.9,522,137,1
3.7,21.1,505,134,1
4.1,22.3,465,132,1
3.2,-200.0,383,123,1
2.4,12.9,278,105,1
3.4,18.4,372,136,1
5.6,26.5,540,169,1
-200.0,29.4,-200,-200,1
-200.0,33.7,-200,-200,1
-200.0,19.9,-200,-200,1
-200.0,13.5,-200,-200,1
-200.0,11.2,-200,-200,1
-200.0,9.1,-200,-200,1
-200.0,10.9,-200,-200,1
-200.0,8.4,-200,-200,1
-200.0,7.1,-200,-200,1
-200.0,4.3,-200,-200,1
-200.0,4.0,-200,-200,1
-200.0,5.8,-200,-200,1
-200.0,6.3,-200,-200,1
-200.0,12.3,-200,-200,1
-200.0,13.3,-200,-200,1
-200.0,12.5,-200,-200,1
-200.0,10.5,-200,-200,1
-200.0,12.1,-200,-200,1
-200.0,12.1,-200,-200,1
-200.0,11.2,-200,-200,1
-200.0,7.2,-200,-200,1
-200.0,8.7,-200,-200,1
-200.0,9.6,-200,-200,1
-200.0,11.6,-200,-200,1
-200.0,12.7,-200,-200,1
-200.0,20.7,-200,-200,1
-200.0,17.8,-200,-200,1
-200.0,11.2,-200,-200,1
-200.0,10.8,-200,-200,1
-200.0,9.4,-200,-200,1
-200.0,8.5,-200,-200,1
-200.0,6.5,-200,-200,1
-200.0,5.1,-200,-200,1
-200.0,4.5,-200,-200,1
-200.0,3.9,-200,-200,1
-200.0,3.3,-200,-200,1
-200.0,3.2,-200,-200,1
-200.0,5.4,-200,-200,1
-200.0,5.6,-200,-200,1
-200.0,7.5,-200,-200,1
-200.0,10.7,-200,-200,1
-200.0,8.4,-200,-200,1
-200.0,11.3,-200,-200,1
-200.0,8.3,-200,-200,1
-200.0,6.0,-200,-200,1
-200.0,6.7,-200,-200,1
-200.0,6.2,-200,-200,1
-200.0,7.7,-200,-200,1
-200.0,11.0,-200,-200,1
-200.0,20.8,-200,-200,1
-200.0,21.4,-200,-200,1
-200.0,10.4,-200,-200,1
-200.0,8.3,-200,-200,1
-200.0,7.8,-200,-200,1
-200.0,5.5,-200,-200,1
-200.0,5.2,-200,-200,1
-200.0,3.2,-200,-200,1
-200.0,2.7,-200,-200,1
-200.0,3.0,-200,-200,1
-200.0,4.0,-200,-200,1
-200.0,5.6,-200,-200,1
-200.0,11.1,-200,-200,1
-200.0,20.1,-200,-200,1
-200.0,23.6,-200,-200,1
-200.0,21.0,-200,-200,1
-200.0,21.8,-200,-200,1
-200.0,22.1,-200,-200,1
-200.0,18.2,-200,-200,1
-200.0,14.2,-200,-200,1
-200.0,14.9,-200,-200,1
-200.0,21.1,-200,-200,1
-200.0,30.3,-200,-200,1
-200.0,41.6,-200,-200,1
-200.0,44.7,-200,-200,1
-200.0,21.3,-200,-200,1
-200.0,10.0,-200,-200,1
-200.0,8.9,-200,-200,1
-200.0,7.4,-200,-200,1
-200.0,6.4,-200,-200,1
-200.0,3.7,-200,-200,1
-200.0,2.5,-200,-200,1
-200.0,2.7,-200,-200,1
-200.0,2.5,-200,-200,1
-200.0,4.1,-200,-200,1
-200.0,7.8,-200,-200,1
-200.0,30.8,-200,-200,1
-200.0,26.4,-200,-200,1
-200.0,21.6,-200,-200,1
-200.0,22.8,-200,-200,1
-200.0,19.3,-200,-200,1
-200.0,30.4,-200,-200,1
-200.0,23.4,-200,-200,1
-200.0,17.1,-200,-200,1
-200.0,14.6,-200,-200,1
-200.0,21.6,-200,-200,1
-200.0,31.9,-200,-200,1
-200.0,40.5,-200,-200,1
-200.0,41.6,-200,-200,1
-200.0,23.9,-200,-200,1
-200.0,20.3,-200,-200,1
-200.0,12.8,-200,-200,1
-200.0,8.7,-200,-200,1
-200.0,6.8,-200,-200,1
-200.0,5.3,-200,-200,1
-200.0,4.6,-200,-200,1
-200.0,3.2,-200,-200,1
-200.0,2.8,-200,-200,1
-200.0,3.6,-200,-200,1
-200.0,6.2,-200,-200,1
-200.0,24.2,-200,-200,1
-200.0,32.0,-200,-200,1
-200.0,25.8,-200,-200,1
-200.0,16.2,-200,-200,1
-200.0,17.7,-200,-200,1
-200.0,16.5,-200,-200,1
-200.0,18.3,-200,-200,1
-200.0,14.6,-200,-200,1
-200.0,17.1,-200,-200,1
-200.0,17.2,-200,-200,1
-200.0,24.6,-200,-200,1
-200.0,26.9,-200,-200,1
-200.0,44.0,-200,-200,1
-200.0,31.0,-200,-200,1
-200.0,16.8,-200,-200,1
-200.0,11.0,-200,-200,1
-200.0,11.4,-200,-200,1
-200.0,9.9,-200,-200,1
-200.0,5.0,-200,-200,1
-200.0,3.7,-200,-200,1
-200.0,3.1,-200,-200,1
-200.0,2.9,-200,-200,1
-200.0,4.4,-200,-200,1
-200.0,7.4,-200,-200,1
-200.0,19.4,-200,-200,1
-200.0,37.1,-200,-200,1
-200.0,22.2,-200,-200,1
-200.0,18.5,-200,-200,1
-200.0,14.0,-200,-200,1
-200.0,15.5,-200,-200,1
-200.0,15.7,-200,-200,1
-200.0,15.7,-200,-200,1
-200.0,12.7,-200,-200,1
2.9,15.3,267,87,1
5.4,28.8,398,111,1
5.3,26.1,418,119,1
6.7,37.1,515,128,1
7.0,35.7,669,117,1
2.8,16.5,326,92,1
1.7,11.0,209,73,1
1.7,10.8,183,60,1
1.7,9.6,165,60,1
1.2,6.5,111,53,1
0.7,3.6,67,47,1
0.7,3.3,-200,-200,1
0.8,4.4,88,43,1
0.9,5.5,147,47,1
1.7,10.8,279,50,1
5.7,31.2,665,81,1
4.3,24.8,592,75,1
3.9,24.2,557,87,1
5.1,29.5,693,128,1
3.7,21.0,530,105,1
3.3,19.6,412,101,1
3.6,21.2,366,100,1
3.2,18.0,344,98,1
3.5,20.5,339,98,1
2.4,15.6,297,98,1
2.9,19.2,294,90,1
2.3,20.0,211,84,1
3.1,21.1,323,101,1
2.9,18.6,333,98,1
1.5,12.3,163,76,1
1.5,10.3,151,71,1
1.7,9.6,167,71,1
1.6,9.9,174,66,1
1.3,8.6,142,62,1
1.4,7.3,155,58,1
0.9,5.4,-200,-200,1
0.9,5.1,96,48,1
1.3,7.8,154,53,1
1.3,8.2,211,55,1
2.9,17.6,381,63,1
3.2,20.1,470,69,1
3.4,18.7,464,84,1
3.6,19.5,450,95,1
2.3,13.0,274,80,1
3.1,18.2,306,87,1
3.3,16.2,308,94,1
1.9,11.0,186,76,1
2.6,15.9,238,92,1
2.7,14.2,249,94,1
3.7,19.9,378,110,1
3.8,21.7,386,109,1
4.8,25.7,461,122,1
3.5,17.3,394,107,1
2.2,11.2,266,83,1
1.5,8.9,158,62,1
3.4,15.2,319,89,1
3.7,17.2,409,103,1
2.0,11.9,223,74,1
1.4,8.1,107,52,1
1.1,4.9,-200,-200,1
-200.0,3.6,50,38,1
0.7,3.7,56,39,1
1.2,6.3,163,59,1
1.3,7.7,187,56,1
1.1,6.3,150,51,1
1.0,5.6,103,51,1
1.2,5.1,143,58,1
1.9,9.0,220,68,1
2.3,9.3,301,81,1
1.6,5.9,214,73,1
1.3,4.4,162,69,1
1.8,5.8,232,81,1
1.7,6.6,254,82,1
1.8,7.8,224,71,1
2.0,8.4,247,81,1
2.2,8.3,334,87,1
1.6,8.1,239,72,1
1.3,6.1,168,63,1
1.5,6.7,185,63,1
1.5,6.6,178,63,1
1.3,6.1,132,55,1
1.4,6.0,135,52,1
0.5,1.4,39,32,1
0.4,1.7,-200,-200,1
0.4,1.9,33,29,1
0.6,3.4,90,44,1
1.1,7.2,164,53,1
2.9,19.0,336,62,1
3.5,24.5,366,68,1
4.6,25.6,565,85,1
3.4,17.1,536,88,1
2.3,12.3,416,82,1
2.7,15.2,379,91,1
3.1,18.3,368,87,1
3.2,17.2,444,90,1
2.5,14.1,352,97,1
3.4,18.3,375,99,1
4.8,25.0,479,109,1
4.5,22.2,448,95,1
4.0,21.4,388,80,1
3.2,16.2,376,76,1
1.9,10.3,224,62,1
1.9,8.9,206,57,1
1.3,6.5,143,57,1
1.1,5.1,113,54,1
1.0,4.6,93,50,1
0.5,2.1,58,44,1
0.6,2.4,-200,-200,1
0.5,3.2,56,34,1
0.8,3.9,105,44,1
1.2,6.0,243,74,1
2.7,13.8,492,101,1
3.0,14.8,435,103,1
-200.0,8.4,-200,-200,1
-200.0,9.0,-200,-200,1
-200.0,8.3,-200,-200,1
-200.0,9.5,-200,-200,1
-200.0,12.1,-200,-200,1
-200.0,7.4,-200,-200,1
-200.0,8.0,-200,-200,1
-200.0,7.9,-200,-200,1
-200.0,10.9,-200,-200,1
-200.0,12.1,-200,-200,1
-200.0,14.7,-200,-200,1
-200.0,6.0,-200,-200,1
-200.0,4.3,-200,-200,1
-200.0,4.1,-200,-200,1
-200.0,3.1,-200,-200,1
-200.0,2.2,-200,-200,1
-200.0,1.5,-200,-200,1
-200.0,0.9,-200,-200,1
-200.0,0.5,-200,-200,1
-200.0,0.6,-200,-200,1
-200.0,0.7,-200,-200,1
-200.0,2.2,-200,-200,1
-200.0,5.8,-200,-200,1
-200.0,5.9,-200,-200,1
1.5,5.9,286,78,1
1.2,5.3,281,72,1
-200.0,6.9,-200,-200,1
-200.0,7.7,-200,-200,1
-200.0,7.3,-200,-200,1
-200.0,7.2,-200,-200,1
-200.0,6.0,-200,-200,1
-200.0,8.3,-200,-200,1
-200.0,11.2,-200,-200,1
-200.0,10.1,-200,-200,1
-200.0,10.6,-200,-200,1
-200.0,7.2,-200,-200,1
-200.0,4.4,-200,-200,1
-200.0,3.8,-200,-200,1
-200.0,3.8,-200,-200,1
-200.0,4.0,-200,-200,1
-200.0,2.2,-200,-200,1
-200.0,1.1,-200,-200,1
-200.0,0.8,-200,-200,1
-200.0,0.8,-200,-200,1
-200.0,1.2,-200,-200,1
-200.0,3.2,-200,-200,1
-200.0,10.2,-200,-200,1
-200.0,13.6,-200,-200,1
-200.0,9.9,-200,-200,1
-200.0,9.1,-200,-200,1
-200.0,8.0,-200,-200,1
-200.0,9.7,-200,-200,1
-200.0,9.7,-200,-200,1
-200.0,12.0,-200,-200,1
-200.0,11.3,-200,-200,1
-200.0,10.4,-200,-200,1
-200.0,12.4,-200,-200,1
-200.0,14.6,-200,-200,1
-200.0,21.0,-200,-200,1
-200.0,17.9,-200,-200,1
-200.0,7.3,-200,-200,1
-200.0,4.8,-200,-200,1
-200.0,4.8,-200,-200,1
-200.0,7.7,-200,-200,1
-200.0,4.3,-200,-200,1
-200.0,3.0,-200,-200,1
-200.0,2.1,-200,-200,1
-200.0,2.3,-200,-200,1
-200.0,3.5,-200,-200,1
-200.0,10.0,-200,-200,1
-200.0,20.5,-200,-200,1
-200.0,22.2,-200,-200,1
-200.0,24.1,-200,-200,1
-200.0,17.4,-200,-200,1
-200.0,14.2,-200,-200,1
-200.0,15.0,-200,-200,1
-200.0,18.3,-200,-200,1
-200.0,13.0,-200,-200,1
-200.0,18.1,-200,-200,1
-200.0,23.1,-200,-200,1
-200.0,24.9,-200,-200,1
-200.0,21.7,-200,-200,1
-200.0,14.1,-200,-200,1
-200.0,11.9,-200,-200,1
-200.0,5.1,-200,-200,1
-200.0,6.8,-200,-200,1
-200.0,4.8,-200,-200,1
-200.0,7.2,-200,-200,1
-200.0,5.4,-200,-200,1
-200.0,3.0,-200,-200,1
-200.0,3.7,-200,-200,1
-200.0,3.6,-200,-200,1
-200.0,4.7,-200,-200,1
-200.0,6.9,-200,-200,1
-200.0,7.7,-200,-200,1
-200.0,12.2,-200,-200,1
-200.0,9.6,-200,-200,1
-200.0,9.6,-200,-200,1
-200.0,8.3,-200,-200,1
-200.0,7.0,-200,-200,1
-200.0,8.2,-200,-200,1
-200.0,4.5,-200,-200,1
-200.0,5.5,-200,-200,1
-200.0,8.7,-200,-200,1
-200.0,8.7,-200,-200,1
-200.0,14.0,-200,-200,1
-200.0,9.5,-200,-200,1
-200.0,7.9,-200,-200,1
-200.0,6.2,-200,-200,1
-200.0,4.0,-200,-200,1
-200.0,4.4,-200,-200,1
-200.0,2.6,-200,-200,1
-200.0,2.7,-200,-200,1
-200.0,3.8,-200,-200,1
-200.0,3.6,-200,-200,1
-200.0,2.2,-200,-200,1
-200.0,1.7,-200,-200,1
-200.0,2.1,-200,-200,1
-200.0,2.3,-200,-200,1
-200.0,4.8,-200,-200,1
-200.0,5.6,-200,-200,1
-200.0,6.8,-200,-200,1
-200.0,6.2,-200,-200,1
-200.0,6.8,-200,-200,1
-200.0,11.1,-200,-200,1
-200.0,12.2,-200,-200,1
-200.0,4.7,-200,-200,1
-200.0,5.1,-200,-200,1
-200.0,12.7,-200,-200,1
-200.0,11.6,-200,-200,1
-200.0,12.7,-200,-200,1
-200.0,9.7,-200,-200,1
-200.0,7.8,-200,-200,1
-200.0,6.8,-200,-200,1
-200.0,8.1,-200,-200,1
-200.0,5.4,-200,-200,1
-200.0,4.4,-200,-200,1
-200.0,2.4,-200,-200,1
-200.0,1.6,-200,-200,1
-200.0,1.8,-200,-200,1
-200.0,3.1,-200,-200,1
-200.0,9.2,-200,-200,1
-200.0,20.8,-200,-200,1
-200.0,26.8,-200,-200,1
-200.0,17.7,-200,-200,1
-200.0,14.2,-200,-200,1
-200.0,16.8,-200,-200,1
-200.0,16.0,-200,-200,1
-200.0,19.9,-200,-200,1
-200.0,18.5,-200,-200,1
-200.0,21.4,-200,-200,1
-200.0,22.8,-200,-200,1
-200.0,36.5,-200,-200,1
-200.0,38.8,-200,-200,1
-200.0,32.3,-200,-200,1
-200.0,29.3,-200,-200,1
-200.0,14.2,-200,-200,1
-200.0,8.0,-200,-200,1
-200.0,7.4,-200,-200,1
-200.0,7.2,-200,-200,1
-200.0,8.0,-200,-200,1
-200.0,6.5,-200,-200,1
-200.0,5.2,-200,-200,1
-200.0,5.6,-200,-200,1
-200.0,7.0,-200,-200,1
-200.0,11.5,-200,-200,1
-200.0,21.7,-200,-200,1
-200.0,37.9,-200,-200,1
-200.0,30.1,-200,-200,1
-200.0,24.5,-200,-200,1
-200.0,25.2,-200,-200,1
-200.0,26.5,-200,-200,1
-200.0,19.6,-200,-200,1
-200.0,13.4,-200,-200,1
-200.0,15.3,-200,-200,1
-200.0,15.1,-200,-200,1
-200.0,21.1,-200,-200,1
-200.0,23.6,-200,-200,1
-200.0,25.7,-200,-200,1
-200.0,27.2,-200,-200,1
-200.0,24.4,-200,-200,1
-200.0,20.3,-200,-200,1
-200.0,14.8,-200,-200,1
-200.0,12.8,-200,-200,1
-200.0,10.0,-200,-200,1
-200.0,9.3,-200,-200,1
-200.0,9.3,-200,-200,1
-200.0,8.8,-200,-200,1
-200.0,10.2,-200,-200,1
-200.0,13.1,-200,-200,1
-200.0,26.1,-200,-200,1
-200.0,37.9,-200,-200,1
-200.0,26.2,-200,-200,1
-200.0,23.1,-200,-200,1
-200.0,26.0,-200,-200,1
-200.0,28.1,-200,-200,1
-200.0,28.0,-200,-200,1
-200.0,24.6,-200,-200,1
-200.0,22.4,-200,-200,1
4.7,30.9,652,167,1
8.0,43.7,895,194,1
7.7,40.0,826,172,1
6.8,35.9,648,134,1
6.0,30.1,629,130,1
4.7,22.3,529,113,1
3.4,17.7,405,99,1
3.9,19.5,461,109,1
4.4,22.3,486,105,1
3.3,15.4,335,91,1
2.0,9.3,210,77,1
1.5,6.0,-200,-200,1
-200.0,6.6,99,59,1
0.8,5.1,149,60,1
1.3,8.8,203,72,1
2.7,16.6,332,83,1
3.6,24.3,446,104,1
3.6,20.6,524,119,1
2.6,15.6,347,105,1
2.0,12.2,273,91,1
3.3,17.7,404,103,1
2.6,14.8,-200,-200,1
2.1,15.0,312,111,1
2.9,16.7,369,101,1
3.0,17.7,362,102,1
3.2,20.9,335,101,1
4.4,28.7,447,118,1
6.0,34.8,576,120,1
5.0,27.5,486,107,1
4.3,24.9,439,104,1
4.3,24.2,462,91,1
4.2,22.2,441,91,1
2.2,13.2,223,74,1
1.3,7.9,126,63,1
1.0,5.9,116,57,1
0.7,4.1,-200,-200,1
-200.0,4.6,125,48,1
0.9,5.8,198,49,1
1.0,6.5,185,55,1
2.8,19.5,425,78,1
4.1,28.0,465,91,1
2.9,18.7,341,88,1
2.7,18.3,316,83,1
2.1,14.3,241,81,1
2.4,16.5,266,83,1
3.8,22.9,412,111,1
3.7,22.3,394,112,1
3.7,22.0,365,112,1
5.5,27.7,548,137,1
5.4,29.8,494,152,1
8.4,40.0,686,163,1
6.8,35.1,556,135,1
4.5,25.5,467,119,1
2.5,13.7,297,91,1
1.6,9.7,164,74,1
1.7,9.8,196,73,1
1.7,10.1,201,71,1
1.1,6.0,132,57,1
1.0,6.0,146,51,1
0.8,4.6,-200,-200,1
-200.0,4.0,94,42,1
0.7,4.6,127,43,1
1.2,7.6,217,52,1
2.3,13.6,394,65,1
3.0,16.0,511,69,1
3.3,18.9,523,91,1
2.8,15.7,471,92,1
3.0,16.2,441,102,1
3.4,19.4,414,118,1
3.0,16.9,317,111,1
2.3,12.5,230,101,1
3.1,15.8,365,119,1
3.0,16.0,360,115,1
3.3,16.3,420,120,1
4.0,21.0,475,115,1
4.6,23.1,526,118,1
4.1,17.7,460,117,1
2.3,12.2,255,96,1
2.6,14.6,283,89,1
2.6,13.1,271,84,1
2.9,15.5,315,97,1
2.1,11.8,227,68,1
2.1,10.9,243,66,1
1.5,8.4,-200,-200,1
-200.0,7.0,142,51,1
1.4,8.6,139,48,1
1.2,7.5,182,47,1
1.5,8.1,196,48,1
0.9,4.8,108,45,1
1.4,7.8,175,59,1
2.1,9.7,266,84,1
1.6,8.4,179,72,1
1.5,7.6,154,68,1
1.1,5.9,95,52,1
1.4,7.4,151,70,1
2.0,10.1,230,90,1
2.0,9.7,239,87,1
2.5,11.8,306,99,1
4.3,20.3,472,128,1
5.2,24.3,532,127,1
3.4,15.6,375,99,1
1.3,7.3,147,72,1
1.2,7.1,118,62,1
1.7,9.0,181,62,1
1.7,8.9,209,63,1
1.4,7.2,167,56,1
0.9,4.4,112,44,1
0.7,4.1,-200,-200,1
-200.0,4.3,108,37,1
0.9,5.9,181,48,1
1.2,7.2,253,59,1
3.2,18.5,521,77,1
4.4,25.0,649,88,1
3.5,18.8,516,111,1
3.2,19.5,487,114,1
3.0,18.2,529,108,1
3.5,20.0,565,111,1
4.0,24.8,558,126,1
3.8,23.1,568,117,1
4.2,25.5,605,119,1
5.0,32.0,666,125,1
7.9,46.3,814,158,1
8.4,44.5,860,149,1
8.0,41.0,820,136,1
6.4,32.5,742,112,1
3.5,19.1,492,87,1
3.5,19.6,464,82,1
1.9,10.7,258,67,1
2.2,12.2,311,68,1
1.6,8.0,231,60,1
1.0,5.5,127,48,1
1.0,5.5,-200,-200,1
-200.0,4.3,124,42,1
0.9,5.9,138,46,1
1.4,8.6,228,54,1
3.0,18.7,383,82,1
4.5,25.0,581,93,1
3.8,19.6,545,95,1
3.4,20.8,593,120,1
3.5,20.1,602,132,1
4.4,26.7,624,146,1
4.0,23.6,546,157,1
4.5,26.4,597,158,1
5.3,30.9,688,175,1
5.8,32.8,760,166,1
8.4,45.9,918,187,1
9.5,52.1,952,180,1
6.2,36.6,685,134,1
5.0,24.0,561,127,1
2.1,9.8,239,95,1
1.4,7.9,175,79,1
1.6,7.5,169,78,1
2.0,9.2,215,80,1
1.2,5.7,115,67,1
0.8,4.4,94,61,1
0.6,3.9,-200,-200,1
-200.0,3.1,80,51,1
0.7,5.1,132,56,1
1.7,10.5,295,68,1
3.4,20.6,517,101,1
4.9,28.5,555,119,1
2.7,12.7,429,108,1
3.2,16.1,561,132,1
2.7,14.9,427,130,1
3.2,16.8,445,129,1
4.1,21.8,538,117,1
3.6,18.6,556,119,1
2.8,14.5,370,113,1
2.1,13.4,257,102,1
2.4,15.8,266,101,1
3.6,20.7,403,116,1
2.6,16.6,275,101,1
2.8,15.3,338,94,1
1.4,8.0,176,75,1
1.1,5.8,159,69,1
1.3,7.0,147,60,1
0.9,4.5,99,58,1
1.0,5.2,98,51,1
0.9,4.4,109,45,1
0.7,4.2,-200,-200,1
-200.0,3.8,112,41,1
0.8,5.2,163,48,1
1.6,10.0,326,61,1
3.4,20.0,640,88,1
4.4,25.8,736,102,1
3.5,20.0,667,97,1
3.4,20.6,677,116,1
2.4,12.2,425,112,1
2.3,13.1,349,101,1
2.6,14.5,332,99,1
2.9,17.5,412,113,1
4.4,25.9,631,122,1
5.0,26.6,677,139,1
6.5,35.3,761,149,1
5.9,28.2,650,136,1
2.7,14.2,262,103,1
2.5,12.4,292,112,1
1.5,6.6,177,88,1
